registration_number,business_type,registration_date,name_in_pdf,search_name,association,source_page,match_status,match_count,official_name,corporate_number,official_address_with_postcode
5293,第３種,平成15年03月20日,株式会社夢生活舎,株式会社夢生活舎,,6,unique_match,1,株式会社夢生活舎,3010801016678,〒143-0023 東京都大田区山王２丁目１番８号
5295,第３種,平成15年03月25日,とらべる通信株式会社,とらべる通信株式会社,ＪＡＴＡ,6,unique_match,1,とらべる通信株式会社,3010001081523,〒104-0042 東京都中央区入船３丁目３番１１号
5299,第３種,平成15年03月27日,コッツウォルズ・ウィンド・アカデミー株式会社,コッツウォルズ・ウィンド・アカデミー株式会社,ＪＡＴＡ,6,unique_match,1,コッツウォルズ・ウィンド・アカデミー株式会社,4013401002510,〒191-0054 東京都日野市東平山２丁目１８番地の４０
5301,第２種,平成15年04月03日,有限会社スペシャリスト,有限会社スペシャリスト,ＡＮＴＡ,6,duplicate_name,3,,,
5304,第２種,平成15年04月17日,西郡観光バス株式会社(横川観光サービス),西郡観光バス株式会社,ＡＮＴＡ,6,unique_match,1,西郡観光バス株式会社,7013101004416,〒190-0200 東京都西多摩郡檜原村５１３番地
5312,第３種,平成15年04月22日,株式会社ジョイフル(ジョイフルツア－),株式会社ジョイフル,,6,duplicate_name,43,,,
5334,第３種,平成15年05月22日,株式会社アイ・フロント,株式会社アイ・フロント,ＡＮＴＡ,6,unique_match,1,株式会社アイ・フロント,5010401044648,〒101-0064 東京都千代田区神田猿楽町２丁目４番１１号
5340,第３種,平成15年06月10日,株式会社アブロード(シーイングトラベル),株式会社アブロード,,6,duplicate_name,13,,,
5341,第３種,平成15年06月10日,株式会社アリィトラベル,株式会社アリィトラベル,,6,unique_match,1,株式会社アリィトラベル,8011001040233,〒151-0072 東京都渋谷区幡ヶ谷２丁目３番８号
5345,第３種,平成15年06月17日,有限会社ローウェル,有限会社ローウェル,,6,unique_match,1,有限会社ローウェル,8011602010997,〒176-0021 東京都練馬区貫井５丁目１７番１９号
5346,第３種,平成15年06月17日,株式会社アウテック,株式会社アウテック,,6,duplicate_name,3,,,
5349,第３種,平成15年07月03日,有限会社エア・マート,有限会社エア・マート,ＡＮＴＡ,6,duplicate_name,2,,,
5356,第３種,平成15年07月29日,有限会社新生トラベル,有限会社新生トラベル,,6,unique_match,1,有限会社新生トラベル,9011602021069,〒177-0051 東京都練馬区関町北２丁目４番４－２０１号
5365,第２種,平成15年08月28日,さんぽみち総合研究所株式会社(e－旅専科),さんぽみち総合研究所株式会社,ＡＮＴＡ,6,unique_match,1,さんぽみち総合研究所株式会社,4010001003220,〒113-0023 東京都文京区向丘１丁目１３番１号
5377,第３種,平成15年10月02日,株式会社エム・エム・エス(エム・エム・エストラベルサービス),株式会社エム・エム・エス,,6,duplicate_name,13,,,
5379,第３種,平成15年10月07日,有限会社トラベルブレーン,有限会社トラベルブレーン,ＡＮＴＡ,6,unique_match,1,有限会社トラベルブレーン,7010002051736,〒101-0025 東京都千代田区神田佐久間町１丁目１４番
5385,第３種,平成15年10月30日,株式会社インターナショナルトータルプラン,株式会社インターナショナルトータルプラン,,6,unique_match,1,株式会社インターナショナルトータルプラン,1010401095653,〒150-0001 東京都渋谷区神宮前３丁目３５番８号ハニービル青山２階
5387,第３種,平成15年11月06日,株式会社悠々トラベル(YYT),株式会社悠々トラベル,ＡＮＴＡ,6,unique_match,1,株式会社悠々トラベル,6012701007671,〒180-0013 東京都武蔵野市西久保３丁目２番２６－９０１号
5388,第２種,平成15年11月11日,公益財団法人東京観光財団,公益財団法人東京観光財団,ＡＮＴＡ,6,unique_match,1,公益財団法人東京観光財団,5010005016564,〒160-0023 東京都新宿区西新宿２丁目３番１号新宿モノリス
5389,第３種,平成15年11月18日,有限会社クルーズインターナショナル(ＣＩＴＤ),有限会社クルーズインターナショナル,,6,duplicate_name,2,,,
5392,第３種,平成15年12月02日,株式会社ワンズ・ワン,株式会社ワンズ・ワン,,6,duplicate_name,5,,,
5399,第３種,平成16年01月06日,有限会社フーリオ,有限会社フーリオ,,6,unique_match,1,有限会社フーリオ,1010702012745,〒141-0033 東京都品川区西品川３丁目５番２０号
5406,第３種,平成16年01月22日,株式会社アイモ,株式会社アイモ,,6,duplicate_name,2,,,
